corpus	sentence
itwac	In un quartiere come Albergherai , in cui c' è il 70 per cento di disoccupati e in cui le attività sono il toto nero , la corsa clandestina dei [SEP] cavalli [SEP] , il contrabbando di sigarette , il traffico della droga , la riffa , e tanti altri piccoli espedienti di lavori informali o di lavori illegali , di economia illegale , è chiaro che Salvatore che sceglie di fare il contrabbando è certamente più integrato di un altro ragazzino che decide di andare a scuola .
itwac	Al rientro Garibaldi pernotta nuovamente allo stazzo di cucuruzzu e come aveva preteso la prima notte , dorme su di un pancaccio vicino al proprio [SEP] cavallo [SEP] .
itwac	e tanto per vendicarmi un pò ( ) , aggiungerei : Quella figura , che va tanto di moda , dell' anoressica con le gambe lunghissime e magrissime , sopratutto in MI perde tantissimo del suo fascino quando è sopra il cavallo , visto come naviga nella sella , con quelle gambe che spuntano da sotto la pancia del [SEP] cavallo [SEP] ecc. ecc. JESSICA Utente Affezionato 545 Posts Inviato - 05 Sep 2002 : 13:47:59 grande sally che bella storia , io che sono una romanticona ho già la lacrimuccia di commozione !! Jessica Jo Utente Junior 147 Posts Inviato - 05 Sep 2002 : 14:56:08 Mamma mia !
itwac	Sembra di essere in un eterno meriggio , sospesi a [SEP] cavallo [SEP] del tempo .
itwac	20 Il tino fu pigiato fuori della città e dal tino uscì sangue fino al morso dei [SEP] cavalli [SEP] , per una distanza di duecento miglia .
itwac	Indica pure un Componimento Somma di rispetto » e anticamente nella milizia [SEP] Cavalli [SEP] o Armi , Munizioni di rispetto » cioè cosa serbata , ossia tenuta in riguardo per sostituire al bisogno breve di una o due stanze , che i es. in marina « Ancora di rispetto » , nelle banche contadini compongono da se e cantano in onore della innamorata .
itwac	Mostre personali 1991 Spazio Espositivo Congressuale di Casalbuono ( SA ) 1992 Spazio Espositivo di Tramutola ( PZ ) 2002 Galleria Ennepilibri di Imperia Esposizioni Collettive 1992 II Rassegna d' arte contemporanea di Polla ( SA ) 1994 Esposizione Collettiva d' arte figurativa pro loco di Tortora ( CS ) 1994 Premio Nazionale d' arte figurativa Montesanart IX edizione Montesano S.M. ( SA ) 1994 Collettiva d' arte del Centro Artisti Salernitani " [SEP] Cavalli [SEP] , natura , ambiente " Salerno 1995 Collettiva d' arte Giovani Artisti del Centro Artisti Salernitani , Salerno 1995 Mostra Collettiva dall' " Astrattismo all' Informale " , Salerno ; 1995 Estemporanea " Sublime " Caggiano ( SA ) ; 1995 Mostra Collettiva " Il cavallo nell' arte " II edizione Ippodromo Valentinia , Pontecagnano ( SA ) 1996 Collettiva d' Arte Contemporanea Itinerante presso la Biblioteca Civica , Comune di Olevano sul Tusciano ( SA ) 1996 Premio Internazionale Città di Avellino , Avellino 1996 Collettiva d' arte Contemporanea al Museo Civico di Campagna ( SA ) 1996 Collettiva d' arte Contemporanea " Eborum Eboli " , Eboli ( SA ) 1996 Collettiva d' arte Artisti Salernitani presso il Castello di Teggiano ( SA ) 1996 Murales " Salerno fatti bella " Salerno 1996 Rassegna " Il Mare di Kamaraton " Marina di Camerota ( SA ) 1996 Collettiva d' arte Contemporanea presso la Cappella di Villa Rufolo a Ravello ( SA ) 1997 Concorso " L' anguria d' oro " Bordighera ( IM ) 1998 Collettiva d' arte " Metti una canzone in cornice " Sanremo ( IM ) 1999 Concorso " mare e mare " Sanremo ( IM ) 2000 Estemporanea di pittura " Un fiore una canzone " Museo della Canzone Italiana di Vallecrosia ( IM ) 2000 Estemporanea " Sasso e dintorni " , Sasso di Seborga ( IM ) 2001 Arte in vetrina Bordighera ( IM ) 2002 Arte in vetrina , XII Raduno Vele d' epoca Imperia ( IM ) 2003 Esposizione collettiva virtuale speciale " Vizi e virtù del Terzo millennio " a cura della Tiscali Arte
itwac	Prezzi a partire da 250 mensili.Tel. 348 5840343 Ipparco , inserito da : matteo in data : 1/2/2005 Zona lago maggiore L' associazione sportiva Ipparco , nata nel 2001 e regolarmente iscritta alla F.I.S.E. , decide di realizzare una pensione per [SEP] cavalli [SEP] anziani e in convalescenza ; un luogo ospitale dove spazi confortevoli , riposo , esperienza e passione arricchiscono il paesaggio naturale che soddisfa , inoltre , le esigenze di chi ama fare lunghe passeggiate con il proprio cavallo .
itwac	66 [SEP] CAVALLO [SEP] ( 6 ) .
itwac	L' ingresso venne rimpicciolito nel corso dei secoli per impedire l' entrata di soldati a [SEP] cavallo [SEP] , e anche le finestre della facciata furono murate .
itwac	La voce della sorella minore è il sussurro che nasce da un sei cilindri a V aspirato , 24 valvole per un tremiladue da 250 [SEP] cavalli [SEP] .
itwac	Prima si ha una frase come questa : " Un [SEP] cavallo [SEP] più bianco è la sua mente e corre più veloce del baleno ; il suo cuore arco teso , piena di frecce è la sua borsa , io vado lontano " ; e , poche righe dopo : " Sola , davanti a un campo di grano il campo accoglie il vento , io sono in piedi e lo guardo " ( p. 11 ) .
itwac	Croce , caratteristico e conosciuto per la notevole ventosità che lo rende particolarmente adatto in primavera e d' estate , alla pratica del windsurf e agli sport velici , alle borgate e ai pascoli dell' alto Alpago da apprezzare a piedi , in muntainbike o a [SEP] cavallo [SEP] sia d' estate che durante la stagione autunnale .
