corpus	sentence
itwac	94 ) Tatiana è l' amica mia grassa , talmente grassa che se si mette a saltare in Cina battono con la [SEP] scopa [SEP] gridando " avete rotto il cazzo " .
itwac	mantenere le [SEP] scope [SEP] e gli spazzoloni in appositi armadi o ripostigli ; 38 .
itwac	IL GAZZETTINO PD I PRECEDENTI Due padri e due zie vittime del delirio Quando la furia esplode tra le pareti domestiche Megliadino San Fidenzio Il corpo seminudo violato da un manico di [SEP] scopa [SEP] , un tubo in alluminio accartocciato in bocca , tre tagli profondi alla gola .
itwac	Il pennuto , impettito per il cibo ingoiato , si rivolse alla [SEP] scopa [SEP] per dirle che era un' intrusa .
itwac	Sono un fiero contestatore di Miss Italia : oramai sembra la reclame di una fabbrica di [SEP] scope [SEP] ; dovrebbero arrestare gli organizzatori per istigazione all' anoressia .
itwac	Sono certa che Madama Hooch ti presterà una [SEP] scopa [SEP] se glielo chiedi con garbo .
itwac	Faccio un esempio banale : quella che mia mamma chiamava " malgareina " , la [SEP] scopa [SEP] , a Modena era chiamata " graneida " ; " alpalaci " , gli scarafaggi carpigiani , diventavano " alveci " in modenese .
itwac	[SEP] Scopa [SEP] , paletta , secchio , straccio per pavimenti .
itwac	" Quadriglione " ( una variante del tressette ) , " Padrone e sotto " e le classiche " [SEP] Scopa [SEP] " e " Briscola " tengono incollati ai tavoli anziani e anche giovani .
itwac	Charlie era caduto dalla sua [SEP] scopa [SEP] in qualche maniera mentre giocava a Quidditch nel campo con Bill e Percy durante la prima settimana dell' estate del primo anno .
itwac	Lo guardano e vedono che li' dentro ci starebbe una casa del popolo , quella dove si riuniscono tutti loro , che si sente la puzza della droga che esce fuori dalle finestre , mentre dentro , dei comunisti un po' piu' attempati gridano le loro parole d' ordine " [SEP] scopa [SEP] e settebello , Dio ...
itwac	Eccone una che mi è venuta or ora !!!! : " Licia [SEP] scopa [SEP] in cucina " : D : D : D : D Forum : Console Games 22/04/05 , 15.21 Risposte : 8 Halo Visite : 297 Inviato da flat Finalmente una persona che la pensa come me !!!! ...
itwac	3 - usare il cell al concerto lo paragono allo stesso modo di chi lo usa mentre [SEP] scopa [SEP] .
itwac	Na volta gh ' era Ghera na volta Pero se volta , cade la [SEP] scopa [SEP] Pero se copa .
itwac	" " Vabbè , lancia un po' dei tuoi centri concentrici , l' incantesimo che mette una [SEP] scopa [SEP] in c * lo agli animali e li trasforma in nostri SdG !
itwac	Net  [SEP] Scopa [SEP] e' il nuovissimo gioco multimediale della serie .
itwac	Uno che lavora alla Salviati di Castronno ( dove si fa la [SEP] scopa [SEP] Pippo ) : " Da noi c' è un senegalese e tutti lo portano in palmo di mano " .
itwac	Poi decidi quali aggiornare e / o se fare gli aggiornamenti in base alle azioni dell' utente , potrebbe ad esempio essere un giorno che non fa nessuna modifica , nessun altro può apportare cambiamenti ai dati fino a che non ha terminato lo " [SEP] scope [SEP] " del recordset .
itwac	CRISTINA : Mi hai preso per una [SEP] scopa [SEP] vecchia ?
