corpus	sentence
itwac	Stanno tirando per la [SEP] giacca [SEP] Romano Corsi sapendo bene che l' avvocato , in assenza di una designazione unitaria dell' intera coalizione , non sarà disponibile a farsi utilizzare nel gioco al massacro dei veti incrociati all' interno della Quercia .
itwac	La legge Gasparri è incostituzionale , ma non per questo occorre " tirare per la [SEP] giacca [SEP] " il presidente della Repubblica affinché non la firmi .
itwac	È calabrese anche lui ed entra subito in confidenza con un De Nicola raggiante al centro della piazza , camicia leggera a mezze maniche , [SEP] giacca [SEP] drappeggiata sulle spalle .
itwac	La [SEP] giacca [SEP] in tessuto Short Team , nelle sue versioni rossa e nera , è quella che fa per te .
itwac	Avevo perso il conto delle porte verdi , tutte identiche , quando mi fu ordinato di aspettare , l' uomo parlò ad un piccolo microfono che nascondeva sotto il bavero della [SEP] giacca [SEP] .
itwac	Pure la storia degli ' uomini con [SEP] giacca [SEP] e cravatta sotto il camice ' : secondo me non esistono ricercatori cosi' !
itwac	Oggi chi è veramente di moda mixa le scarpe del mercatino con la [SEP] giacca [SEP] di grande griffe .
itwac	Indossa una [SEP] giacca [SEP] chiara e una cravatta sgargiante , non perfettamente intonata , sopra pantaloni scuri ( eventualmente in tela di Genova blu ) .
itwac	Lara fa per mettersi la [SEP] giacca [SEP] .
itwac	Un gilet di taglio classico veniva indossato sotto la [SEP] giacca [SEP] .
itwac	php $ str = " articolo = Magliette articolo = Pantaloni articolo = Cappotti articolo = [SEP] Giacche [SEP] " ; $ pattern = " articolo = " ; $ risultato = split ( $ pattern , $ str ) ; foreach ( $ risultato as $ articolo ) echo " $ articolo BR " ; ?
itwac	Al mio infilarti le mani nella [SEP] giacca [SEP] di pelle in inverno .
itwac	non lasciamo che berlusconi imponga a tutti il suo modo di far politica : spot , [SEP] giacca [SEP] e cravatta , libro , foto-romanzo e video del capo .
itwac	L' altra testimonianza , meno drammatica ma non meno gustosa , e di Gide , che nel suo Journal del 1905 gli dedica due indimenticabili ritratti , equilibristicamente sospesi tra l' insofferenza , la malignità e l' ammirazione : Claudel , con la sua faccia " sans nuances " e la sua [SEP] giacca [SEP] troppo corta , vi è paragonato volta a volta a un maglio , a un toro , a una forza della natura ; " procede per affermazioni brusche , e mantiene un tono ostile anche quando si è del suo stesso parere " ; e a un certo punto , guardando Gide fisso negli occhi , gli chiede a bruciapelo : " Perché non vi convertite ?
itwac	Ecco dunque la [SEP] giacca [SEP] che è un bolero ridottissimo , quasi un coprispalla gessato , da infilare sopra tenere camicie e candide bluse , serate da bustier come stringivita , impreziositi da intrecci di stringhe .
itwac	( va a mettere la [SEP] giacca [SEP] e , dal mobiletto , prende un Corano ) Judith : ( che ancora guarda fuori dalla finestra ) Stanno girando .
itwac	E per finire , un inno al bianco maschio di Fendi , con completo rigoroso : [SEP] giacca [SEP] che ricorda quella del frac e pantaloni con pince .
itwac	Punto di forza della sua linea la [SEP] giacca [SEP] da uomo , alleggerita , smontata , snellita pur mantenendo la costruzione della spalla per cui la sartoria napoletana va famosa .
itwac	la [SEP] giacca [SEP] dell' arlen ness tiene anche con lo tsunami invece ciao -- ma perché non abbiamo preso il milleddue ?
itwac	Per sorprendere mogli e fidanzate , questo Natale propone la [SEP] giacca [SEP] da donna " Mille Miglia " ispirata a Tazio Nuvolari e ai grandi piloti delle automobili d' epoca .
itwac	Le ammiraglie sono sempre vetrine tecnologiche , il pretesto di CEO e ingegneri per gonfiare il petto : ma con questa i bottoni di qualche [SEP] giacca [SEP] hanno rischiato di saltare .
itwac	Per me fa Sembra un tizio con la [SEP] giacca [SEP] di almeno due taglie di meno , meglio in maglietta !!!
itwac	dopo circa 4 secondi mia madre spalanca la finestra e mi fa " ritrova la mia giacca " a quel punto mi rimetto a dormire per un' oretta , quando mi sveglio e telefono a jacopo per sapere se sapeva dove stava la mai [SEP] giacca [SEP] , e perchè non mi aveva dato la mia .
itwac	Jim Backus Il bacio di una donna può non lasciare traccia nell' anima , ma ne lascia sempre sul bavero della [SEP] giacca [SEP] .
itwac	Cosa spinse Sandro Pertini nel luglio del 78 , appena eletto Presidente della Repubblica , a concedere la grazia a [SEP] Giacca [SEP] ?
itwac	Peppe Storto si rannicchiò sul sasso , con la sua [SEP] giacca [SEP] sotto la testa , col pensiero rivolto a quel fosso , causa di paura  sì funesta .
itwac	Finiscila di puntare sui tuoi pallini e visto che ti piacciano tanti i lentoni e i vecchi levati la [SEP] giacca [SEP] e gioca pure tu !
itwac	poi vuole andare a letto : prende il libro , edizione tascabile , lo infila nella tasca della [SEP] giacca [SEP] , se la toglie , l' appende alla spalliera della sedia ...
itwac	Ha i capelli lunghi , una [SEP] giacca [SEP] militare , simile a quella dei soldati alle sue spalle , e al petto il distintivo dell' Università normale di Pechino .
itwac	Anni prima , scolpite figure singole , le lasciava del colore naturale del legno ; poi prese a soggetto i crocchi di persone e cominciò ad assegnare colori per evidenziarne meglio i personaggi componenti e caratterizzarne qualche elemento ; le [SEP] giacche [SEP] d' un bel rosso amaranto , per esempio , come quelle della divisa di certe bande di paese , oppure i cappelli a tesa stretta , in un bel giallo o certi azzurri con patine antiche , eppure con una brillantezza di smalto .
itwac	I Verdi si tolgono le [SEP] giacche [SEP] e restano con t-shirt ( fatte stampare di corsa ) sulle quali campeggia : « Per Villa Certosa state spogliando l ´ Italia » .
