corpus	sentence
itwac	ANTONIO [SEP] LEONE [SEP] .
itwac	inviato il 13.11.2003 12:11:58 Sundance Scommetto una delle mie caccole che Demerara è l' ex agente di viaggi , oggi LeUpanisad , che col coraggio dei [SEP] leoni [SEP] della savana mi insulta sempre sotto mentite spoglie ...
itwac	All' improvviso un [SEP] leone [SEP] mi salta davanti e mi ringhia contro .
itwac	scritto da ELIDE alle ore 11:02 commenta leggi commenti ( 0 ) 26.05.2003 OROSCOPO DI OGGI [SEP] LEONE [SEP] Oroscopo di Lunedì 26 maggio 2003 Qualche inquietudine è probabilmente dovuta allo stress e alla fatica .
itwac	E che [SEP] leoni [SEP] !
itwac	Sul networking , grande interesse alle tematiche di sicurezza e di crittografia , con Sikurezza.org ( www.sikurezza.org , Italian security mailing list ) a fare la parte del [SEP] leone [SEP] , forte di competenze elevate i cui servizi potrebbero fare comodo a più di un' azienda .
itwac	Magari retta da zampette di [SEP] leone [SEP] rococò .
itwac	IL FILM E' STATO PREMIATO CON IL [SEP] LEONE [SEP] D' ORO E IL CIAK D' ORO AL FESTIVAL DI VENEZIA ( 1986 ) .
itwac	Giuseppe Fioroni , ad esempio , liquida così la questione : " Peccato che non sia il 15 di agosto , altrimenti avrei pensato che fosse stato il colpo del sol [SEP] leone [SEP] " .
itwac	Cristo è detto [SEP] leone [SEP] 63 : è forse una bestia ?
itwac	Molto ma molto più rari i " meticci " con il [SEP] leone [SEP] padre .
itwac	Jago indica il corpo inerte ed esclama : " Ecco il [SEP] leone [SEP] !
itwac	In molte regioni la confusione è ancora grande : anche qui il risultato finale è che la Sanità la fa da [SEP] leone [SEP] , lasciando al Sociale soltanto briciole .
itwac	- Bibì , che a sentirlo era un [SEP] leone [SEP] indomito , tremava anche lui come una foglia .
itwac	" Un [SEP] leone [SEP] delle Brigate dei martiri dell' organizzazione al Qaeda per la Guerra Santa in Iraq ha attaccato un raduno di apostati ...
itwac	Anna Maria [SEP] LEONE [SEP] ( UDC ) , relatore , non essendo presente un rappresentante del Governo neanche alla seduta di oggi , sebbene si fosse sollecitata l' espressione del parere , invita il Presidente a procedere alla votazione degli emendamenti , come concordato nell' ultima seduta .
itwac	so perfettamente quanto possa essere difficile affrontare un anno intero di trasferte ( parlo a livello economico ) , ma sicuramente è meglio una trasferta fatta con MENTALITA' ( quindi rispetto x la gente del posto e , se proprio vuoi fare casino , il [SEP] leone [SEP] che lo si vada a fare sotto la curva di casa ...
itwac	Carlo [SEP] LEONI [SEP] ( DS-U ) , intervenendo nell' ambito della discussione di carattere generale , fa presente che illustrerà brevemente , in nome del suo gruppo , le ragioni che sorreggono un giudizio fortemente negativo sul provvedimento in esame .
itwac	Formulano quindi considerazioni e pongono quesiti i deputati Carlo [SEP] LEONI [SEP] ( DS-U ) , Carlo TAORMINA ( FI ) e Marco BOATO ( Misto-Verdi-U ) .
itwac	La sua produzione poetica è raccolta in Nessuno vince il [SEP] leone [SEP] ( 1988 ) , La buranella ( 1996 ) , Anch' io vissi in Arcadia ( 1996 ) , Smemorata ( 1998 ) e La bambina pigmea di prossima pubblicazione .
itwac	per qualsiasi punto lo si guardi [SEP] leone [SEP] ha previsto tutto e non ha sbagliato nulla , e secondo me questo film doveva sbancare di oscar all' academy awards .
itwac	Il surf non è solo uno sport che evoca un senso di audacia e di libertà , ma un vero e proprio mito , ancora oggi intatto e fortissimo , esaltato da film come Un Mercoledì da [SEP] leoni [SEP] di John Milius , nel quale il surf è il simbolo di una condizione giovanile ancora libera , audace , incontaminata , destinata a soccombere di fronte all' inevitabile crescita , vista più che altro come senso di perdita dell' originaria innocenza , da Apocalypse Now , quando Francis Ford Coppola trasforma il surf in simbolo dellâ  TMimperialismo culturale americano , o da quel piccolo capolavoro che è Endless Summer , lâ  TMestate senza fine di Bruce Brown , dove i surfers volano sulle onde con la leggerezza del vento .
itwac	Piccola donna che vivi la tua Vita col coraggio di un [SEP] leone [SEP] ...
itwac	A volte il [SEP] leone [SEP] piange , a volte fa la maglia .
itwac	inviato il 29.02.2004 16:25:50 Luigi P. Per tale antonello [SEP] leone [SEP] " Già , dimenticavo che Nostro Signore era palestinese e si sa , per certa gente da tre anni a questa parte chiunque venga dal Medio Oriente ( israeliani esclusi ) , ed abbiano i capelli lunghi e la barba ( cristiani o musulmani , non fa differenza ) sono tutti talebani e quindi terroristi .
itwac	                 Tematiche : Geologia ed Evoluzione , Scacchi , La Fame nel Mondo , Italia '85 Sempre in cerca di materiale mancante per arricchimento delle suddette tematiche Vai ad inizio pagina occio Amministratore Iscritto : 25 Mar 2005 Messaggi : 848 Località di residenza : Roma - 26/03/72 Inviato : Gio Apr 07 , 2005 2:11 pm Oggetto : branca  [SEP] leone [SEP] ha scritto : Ciao Fabio , basta che vai sul primo intervento all' inizio , clicchi su modifica e puoi modificare il titolo , poi salvi tutto .
itwac	E all' interno di questa maggioranza , Franco Marini fa la parte del [SEP] leone [SEP] .
itwac	Hai un atteggiamento troppo impostato sulla modalità " brava persona " , mentre nel sottosuolo io sento i ruggiti di un [SEP] leone [SEP] in gabbia .
itwac	" E secondo te , su cosa e' scivolato il [SEP] leone [SEP] ?! " .
itwac	Tra le attività del tempo libero , la parte del [SEP] leone [SEP] la fa la pratica sportiva .
itwac	Quando dal fuoco sorgerà un loto , quando sulle maestose montagne si troverà lo zaffiro , quando il monte Meru potrà poggiare su di un seme di loto , quando la progenie d' un' ape inghiottirà una montagna , quando il Meru vacillerà , quando una zanzara ucciderà un [SEP] leone [SEP] , quando nella cavità all' interno di un atomo potrà espandersi il trimundio , quando il fuoco necessario a bruciare un fuscello durerà in eterno , quando gli oggetti sognati si presenteranno durante la veglia , quando la corrente di un fiume si arresterà , quando un affamato potrà cibarsi di fuoco , quando un cieco nato potrà giudicare con occhio esperto in materia di gemme , quando il figlio d' un eunuco potrà soddisfare una donna , quando si costruirà un carro fatto di corna di lepre , quando una vergine che ha appena partorito sarà di nuovo pronta al rapporto sessuale , quando il parto d' una donna sterile sarà fruttuoso , quando il corvo incederà come un cigno , quando il mulo affronterà il leone ed assumerà l' andatura dell' elefante , quando la luna piena diventerà il sole , quando il sole e la luna non saranno più soggetti alle eclissi , quando i semi torrefatti produrranno raccolto , quando il povero godrà della prosperità dei ricchi , quando il leone sarà sconfitto dalla prodezza dei cani , quando il cuore dei saggi si aprirà agli stolti , quando i cani avranno bevuto l' oceano senza lasciarne una goccia , quando lo spazio sidereo cadrà sul capo degli uomini , quando il cielo cadrà sulla terra , quando i fiori che crescono in cielo spanderanno profumo , quando una foresta che appaia nello spazio celeste prenderà a muoversi , quando uno specchio da solo produrrà un riflesso senza che nulla vi stia di fronte , solo allora si potrà dire che il mondo esiste davvero .
itwac	Titolo : Un mercoledì da [SEP] leoni [SEP] ( I Miti ) Cast : Patti D' Arbanville , Gary Busey , Robert Englund Regia : John Milius L' amicizia di tre atletici ragazzi scorre lungo una quindicina d' anni e segue i ritmi delle maree , essendo essi grandi appassionati di surf , sempre alla ...
itwac	e là poria pugnare vostro feroce affare , orsi , [SEP] leoni [SEP] , dragon ' pien ' di foco .
itwac	Paradossalmente per quanto GONY fosse meno riuscito come film ( note le devastanti ingerenza della Miramax ) quello era un film di Martin e nella regia si avvertivano tante magnifiche zampate del [SEP] leone [SEP] .
itwac	E' diventata la capitale delle orchidee - La serra da 30 mila pezzi dei coniugi Preti Sono trentamila , tra quelle bianche frastagliate di pois rosa , le giallo limone , quelle che assomigliano a rosse bocche di [SEP] leone [SEP] che pendono a grappolo dai gambi esili .
itwac	Durante l' escursione serale siamo fortunati , subito vediamo un [SEP] leone [SEP] , poi illuminati dal faro del Ranger rinoceronti bianchi e un coyote .
itwac	Milius ( Dillinger , Un mercoledì da [SEP] leoni [SEP] , Conan il barbaro ma anche altri film decisamente meno convincenti ) , è un regista e sceneggiatore tra i più in vista della Hollywood degli anni 70 e 80 , autore tra l' altro della sceneggiatura del mitico Corvo rosso non avrai il mio scalpo di Sidney Pollack , ed è un autore che ha sempre fatto discutere oltre che per i suoi film anche per le sue idee politiche decisamente poco progressiste ( ed usiamo un evidente eufemismo ) .
itwac	L' Ordine dei Predicatori , quella sacra impazienza che , nella sua piccola cella , ai piedi del crocefisso , fa ruggire Domenico come un [SEP] leone [SEP] ( a gemitu cordis sui rugitus solebat emittere ) .
itwac	Il [SEP] leone [SEP] doveva essersi fermato a non più di tre o quattrocento passi dal campo .
itwac	Ecco alcuni luoghi cult per trascorrere un' estate all' insegna di Un mercoledì da [SEP] leoni [SEP] ( il celebre film di John Milius dedicato alla storia di tre surfisti californiani ) , impugnando il vento tra le mani .
itwac	Anche il [SEP] leone [SEP] non sfuggì al tentativo di umanizzazione .
itwac	E la moda si adegua proponendo un abbigliamento che si ispira ( per modelli e materiali ) proprio allo sport celebrato da « Un mercoledì da [SEP] leoni [SEP] » , versione rosa Not In My Name ...
itwac	Il transalpino della Française des Jeux ha lottato come un [SEP] leone [SEP] , ma all' ultima curva , a un chilometro dall' arrivo , è scivolato aprendo la strada ad Alexandre Vinokourov e Lorenzo Bernucci avvantaggiatisi con uno scatto ai due dall' arrivo .
itwac	E nel mezzo del complesso , tra slot-machine , ambienti grandiosi e lussuosi , spettacoli e scenografie maestose , è stato costruito uno dei parchi acquatici più incredibili ( Valley of wave ) , raggiungibile attraversando il Ponte del Tempo circondato da giganteschi [SEP] leoni [SEP] ed elefanti in pietra , sotto ad un vulcano : una piscina enorme per rinfrescarsi dalle alte temperature , con sabbia artificiale di silice , palme , acqua trasparente : sembra davvero di essere al mare ...
itwac	Dodici [SEP] leoni [SEP] in campo , un contorno prezioso , presidentissimo compreso .
itwac	[SEP] LEONE [SEP] Gianfranco ( FI ) , relatore L' imprenditore , avverte , dal Consorzio deve avere i servizi e la disponibilità dell' area dove fare impresa , mentre quanto proposto dal consigliere Adamo potrebbe far correre il rischio di agevolare i soggetti che stanno dentro il Consorzio rispetto a chi non ne fa parte .
itwac	Ovviamente la parte del [SEP] leone [SEP] spetta agli aloni scuri , tra le più evidenti testimonianze indirette di vulcanismo da apparato centrale , se si escludono i domi lunari , alla portata anche di piccoli strumenti ( 1 ) .
itwac	Prova a mettere nella gabbia di un [SEP] leone [SEP] un asinello e vediamo che succede .
itwac	Quel " Piccolo " grande promotore scientifico Il quotidiano " Il Piccolo " ha fatto la parte del [SEP] leone [SEP] nella promozione dei science cafè di Trieste .
itwac	Il [SEP] leone [SEP] allora disperato disse : - O caro topolino sono finito o morto o in gabbia !
itwac	" Poco dopo l' alba , la mattina del 2 novembre , davanti alla stampa mondiale , agli ospiti stranieri e a una grande folla di ras con le loro criniere di [SEP] leone [SEP] e i loro abiti più splendenti , l' abuna Cirillo unse il capo di Haila Sellase e vi pose sopra la triplice corona d' Etiopia .
itwac	Navigava ore in rete alla ricerca di qualche primizia che lo riguardasse , e si batteva come un [SEP] leone [SEP] per difenderlo nelle discussioni letterarie sostenendo la bontà del suo operato .
itwac	[SEP] LEONE [SEP] Gianfranco ( FI ) A suo avviso , vista la situazione , è ' necessario procedere con i lavori .
itwac	Francesco si è battuto da [SEP] leone [SEP] , ha speso tutto sé stesso .
itwac	Non fu certo un cuor di [SEP] leone [SEP] , d' accord , ma almeno salvò la ghirba .
itwac	Se tu avessi pubblicato un qualche confronto fra la mia Frusta letteraria e i Dialoghi degli antichi letterati nell' Eliso , non sarei stato costretto a saltare a cavallo d' un vento , e a prendermi in corpo , ossia nell' anima , il più lungo di tutti i viaggi per venire a protestare alla terra che quel [SEP] leone [SEP] d' Aristarco non si cura di voi ; e che non basta Porsi intorno al collo una criniera rossiccia , e provarsi a ruggire , per essere creduti leoni .
itwac	Per avere cercato di migliorare la gestione societaria , lottando come un [SEP] leone [SEP] , e cercando di acquistare fiducia dalla città e dai giocatori , e per averci acquistato un grande campione come Stankovic .
itwac	Chi è stato allora ad uccidere il [SEP] leone [SEP] del Panshir ?
itwac	Le due colonne della piazzetta sorreggono gli emblemi dei santi patroni della città : il [SEP] leone [SEP] alato di San Marco e la figura di San Teodoro .
itwac	" I [SEP] leoni [SEP] di Tawid wal Jihad hanno tagliato la gola del secondo americano al termine dell' ultimatum - Nel messaggio pubblicato su un sito islamico è scritto - recita il comunicato del gruppo terroristico - .
itwac	I due [SEP] leoni [SEP] , udendo le grida dei loro prigionieri , si erano arrestati , guardandoli , come se fossero indecisi sulla scelta delle loro vittime .
itwac	Questo innegabile fatto ha dato origine a posti come SeaWorld ( di proprietà dell' impero della birra Anheuser-Busch ) , dove coloro che hanno poca dimestichezza con la vita del marinaio possono sedere intorno alla piscina per ammirare delfini , [SEP] leoni [SEP] marini e orche mentre saltano e giocano .
itwac	TREVISO : RAMON , MAINO , DI BARI , ROSSI , MARGIOTTA , DE POLI , BOSCOLO ( 19 ' ST [SEP] LEONI [SEP] ) , PASA , BONAVINA , CLEMENTI ( 20 ' ST SONCIN ) , FIORIO ( 33 ' ST BORTOLUZZI ) .
itwac	# 37 : Autore : branca  [SEP] leone [SEP] , Località di residenza : Venezia Inviato : Dom Apr 17 , 2005 1:52 am Vero , era la spiegazione di quelle due immagini differenti dal reale del venditore tedesco , io scanno bollo per bollo con un programma particolare , che pilota il driver dello scan e salva l' immagine in modo ottimizzato .
itwac	Infatti , una volta approdati sull' isola , si scorge ogni sorta di piante ed animali in armonia fra loro ; qui anche i [SEP] leoni [SEP] sono erbivori , e , più si strappano le piante , più esse ricrescono .
itwac	Più che altro si trovano aggiunti elementi decorativi in immagini normali come ad esempio corna o denti da [SEP] leone [SEP] in figure umane oppure creazione di raffigurazione di animali mitologici quali il grifone o la chimera .
itwac	Mentre i rapitori tentavano di spostarla per sfuggire alla polizia che già era sulle loro tracce , si sono imbattuti in tre [SEP] leoni [SEP] .
itwac	Di giorno , sono [SEP] leoni [SEP] della macchia in battaglia , ma al cadere della notte , vegliano ritti in preghiera ...
itwac	E' la fossa dei [SEP] leoni [SEP] !!!
itwac	Fra le socoetà , vittoria dell' Arteni Olimpia Terenzano la quale ha preceduto nell' ordine : Marciatori udinesi , Atletica Buia , Marciatori Palmanova , Amici Tram Opcina , Atletica San Martino , Jalmiccocorse , Pellicani Codroipo , Sci club 2 , Cus Udine , Marciatori Gorizia , Dall' Agnese , Teenagers , Dlf Udine , Pulfero , Carniatletica , Intrepida Mariano , San Giacomo Trieste , Aquile friulane Fagagna , [SEP] leoni [SEP] San Marco , Atletica team Pordenone , Tricesimo e Azzano runners .
itwac	Partendo dal simbolo ( il tondino con [SEP] leone [SEP] e stemmi ) delle Repubbliche Marinare ( le uniche autorizzate a emettere moneta ) si può intraprendere un' indagine del periodo storico in cui fiorirono e degli eventi ad esso inerenti , fino ad una ricostruzione del cammino verso la moneta unica .
itwac	La parte del [SEP] leone [SEP] l' ha fatta Alberto Crespi , vincitore del guantone d' oro di quest' anno , con una dimostrazione dal vivo su come avvenga il " passaggio " di una recensione su un quotidiano .
itwac	fontana in pietra divisa in due vasche , zampillo d' acqua chiara con getto costante che schizza da un boccaglio d' ottone sito nella bocca di una testa di [SEP] leone [SEP] scolpita su pietra serena , a fianco della testa la scritta in verticale CIPAF , nove pesci piccoli di color grigio scuro nella prima vasca , quattro pesci più grandi della stessa razza e dello stesso colore nella seconda vasca , insetti che volano attorno alle due vasche , galleggiano sull' acqua alcune foglie , sul fondo della prima vasca alcune monetine , qualche sasso ed una vecchia lattina di cocacola , sul fondo della seconda alcuni sassi ed un piccolo pezzo di plastica di col rosso .
itwac	CARLO [SEP] LEONI [SEP] .
itwac	Guardava particolarmente un punto , quella specie di fermaglio a forma di zampa di [SEP] leone [SEP] che i solerti armaioli di Poitiers le avevano sistemato in corrispondenza della spalla , per potervi sistemare le pullegge che sostenevano la faretra .
itwac	I download sono raddoppiati : erano poco più di 2000 a gennaio sono diventati 4 mila 500 a giugno ( oltre 5 mila a maggio ) con gli ultimi manuali a fare la parte del [SEP] leone [SEP] .
itwac	Nella maggior parte dei casi la parte del [SEP] leone [SEP] e' stata fatta dai Popolari , che meglio organizzati nelle strutture territoriali , contano di coprire circa il 40 % degli eletti nel comitato costituente .
itwac	Si può facilmente vedere sott' acqua fino a 30 m di profondità , in estate anche fino a 60 m. Il Blue Hole nella baia di Lelu ospita coralli , pesci [SEP] leone [SEP] , ricci e barracuda .
itwac	Dieci giorni fa gli operatori del Solco , il consorzio di cooperative che dal 2003 porta avanti il progetto in convenzione col Consorzio servizi sociali , sono andati nella tana del [SEP] leone [SEP] : l' Heineken jammin ' festival .
itwac	ANTONIO [SEP] LEONE [SEP] .
itwac	Nelle iscrizioni in geroglifici ritrovate dagli archeologi sulle pareti della cappella , compare sovente il nome di Ramses II spesso associato alle rappresentazioni di Sekhmet , la dea della guerra con la testa di [SEP] leone [SEP] , e Ptah , il suo fedele aiutante .
itwac	17 Certo , non aveva difficoltà la tua mano onnipotente , che aveva creato il mondo da una materia senza forma , a mandare loro una moltitudine di orsi e [SEP] leoni [SEP] feroci 18 o belve ignote , create apposta , piene di furore , o sbuffanti un alito infuocato o esalanti vapori pestiferi o folgoranti con le terribili scintille degli occhi , 19 bestie di cui non solo l ` assalto poteva sterminarli , ma annientarli anche l ` aspetto terrificante .
itwac	Per gli amanti della natura incontaminata la Península Valdés , con i suoi [SEP] leoni [SEP] ed elefanti marini , guanachi , nandù , pinguini di Magellano , uccelli acquatici , fenicotteri e balene rappresenta un vero godimento .
itwac	Una pagina iniziata prima ancora di Costantino quando , in Oriente , migliaia di credenti fuggirono nel deserto ( éremos , in greco ) o sulle montagne : grotte , anfratti , capanne si riempirono di solitari in lotta con [SEP] leoni [SEP] e serpenti , ma anche con diavoli tentatori .
itwac	La parte del [SEP] leone [SEP] la fa l' Africa non mediterranea : la Toscana coopera con 21 paesi .
itwac	Lunga 73 metri , è la colossale rappresentazione di un [SEP] leone [SEP] dalla testa umana , in cui si sono volute riconoscere le fattezze del faraone Khefren che sta a guardia della propria tomba .
itwac	[SEP] LEONE [SEP] Gianfranco ( FI ) , relatore E' d' accordo a stabilire che il Consorzio debba essere soggetto erogatore di servizi .
itwac	IL BUONO , IL BRUTTO , IL CATTIVO ( ITALIA , 1966 , 182 ° ) REGIA : SERGIO [SEP] LEONE [SEP] ATTORI : CLINT EASTWOOD , ELI WALLACH , LEE VAN CLEEF , CARLO GIUFFRE ' ...
itwac	la parte del [SEP] leone [SEP] .
itwac	In alto , un [SEP] leone [SEP] accucciato di cui manca la testa ( forse il simbolo di Firenze ) e delicati racemi .
itwac	Carlo [SEP] LEONI [SEP] ( DS-U ) , manifesta piena condivisione rispetto agli interventi testè svolti .
itwac	In Madagascar una giraffa , una zebra , un ippopotamo e un [SEP] leone [SEP] liberati da uno zoo di New York incontrano non poche difficoltà ad inserirsi nel loro ambiente naturale , mentre dalla Francia arriva La profezia delle ranocchie , apologo sulla tolleranza tra i popoli ambientato durante un nuovo diluvio tra una comunità di animali rifugiatasi in una fattoria .
itwac	Carlo [SEP] LEONI [SEP] ( DS-U ) , ricordate le preoccupazioni dei gruppi di opposizione rispetto alla libertà e al pluralismo dell' informazione , evidenzia il disagio manifestato dalle emittenti locali nell' applicazione della normativa nazionale .
itwac	La chiesa conserva l' aspetto e , per gran parte , gli arredi della fine del XVIII secolo , mentre della chiesa quattrocentesca rimane solo il timpano del portale in pietra d' Istria , con il [SEP] leone [SEP] di S .
itwac	A far la parte da [SEP] leone [SEP] è stato il ministero per i Beni e le Attività culturali che si è visto assegnare la somma complessiva di circa 46 miliardi e 263 milioni di vecchie lire ( 23 milioni e 188 mila euro ) .
itwac	Nonostante questa apparente frenesia creativa , che un cineasta italiano odierno potrebbe tranquillamente sognarsela , il vecchio [SEP] leone [SEP] del cinema portoghese non perde la propria linfa vitale .
itwac	L' 11 settembre l' ha colto là , mentre era in carriera da giovane [SEP] leone [SEP] della finanza : si trovava a Wall Street , mezzo chilometro dal World Trade Center .
itwac	Questi crudeli tiranni assiri , effigiati nei bassorilievi mentre conducono feroci cacce al [SEP] leone [SEP] e lottano corpo a corpo con le belve , sono in queste lettere persone docili e spaventate , che non sanno cosa fare .
itwac	Gli viene commissionata la Caccia ai [SEP] leoni [SEP] .
itwac	La fauna di questo parco è ricchissima , anche se non numerosa come nel Chobe : vi si trovano antilopi , [SEP] leoni [SEP] , iene , ghepardi e ippopotami , e inoltre una varietà incredibile di avifauna , mentre sono assenti elefanti e bufali .
itwac	Hanno lasciato fuori dal futuro consiglio regionale una persona che in cinque anni ha lavorato tanto e si è battuto come un [SEP] leone [SEP] per la sua città e per la sua provincia facendo arrivare un' ingente quantità di risorse .
itwac	Internet é democratica e plurale , tutti possono esprimere le proprie opinioni senza azzuffarsi come fanno i [SEP] leoni [SEP] nella savana , e se a uno il film non é piaciuto ha il sacrosanto diritto di dirlo , specie se il suo parere é lungamente argomentato .
itwac	Quando il sole nasce , non importa se sei un [SEP] leone [SEP] o una gazzella : è meglio che cominci a correre " .
