corpus	sentence
itwac	Ci sono immagini cancellate con un colpo di [SEP] penna [SEP] , come a scuola ( si pensi ai film del ventennio con Osvaldo Valenti , grande attore del cinema del fascismo , che aderì alla Repubblica di Salò e fu condannato a morte e giustiziato nel  45 , il cui nome , nelle riedizioni delle pellicole subito dopo la guerra - Harlem , di Carmine Gallone , 1943 e La cena delle beffe , di Alessandro Blasetti , 1942 - venne depennato dai credits ) .
itwac	O siete forse quelli che fanno le [SEP] penne [SEP] con il tubolare gridando " vai vekkio " e " bella lì " !? ---------------- Girarsi indietro a guardare e pensare : " Quella è la mia traccia , dunque esisto " .
itwac	Comunque sia , sono nate prima le penne e poi il volo , e una linea di piccoli dinosauri pennuti , forse arboricoli , forse corridori , ha saputo sfruttare evolutivamente la possibilità di utilizzare le [SEP] penne [SEP] per costituire il piano portante delle ali e della coda .
itwac	Gonfalone di Catania [SEP] Penna [SEP] , matita ed acquerello su carta bianca , cm. 54,5 x 34,5 .
itwac	Improvvisamente compaiono tre Beccacini che si posano nel chiaro davanti al capanno , dopo qualche istante girano il capo , alzano una zampa e infilano il lungo becco fra le [SEP] penne [SEP] del dorso ; sembrano stanchi , probabilmente sono in migrazione e avranno volato tutta la notte .
itwac	Una ' [SEP] penna [SEP] ' , che sembra un giocattolo , potrà combattere l' obesita' dei bambini .
itwac	Gentile dottor Cefis , come mai il Corriere degli anni Sessanta armò la [SEP] penna [SEP] nientemeno di Indro Montanelli che si lanciò in una lunga e durissima campagna contro Mattei e il suo potentato Eni ?
itwac	Che cosa c' entra tutto questo con l' Ordine dei Giornalisti ed i deliri censori che in queste ore e negli ultimi mesi inutilmente pervadono le [SEP] penne [SEP] ( nel senso più gallinaceo del termine ) dei suoi tenutari ?
itwac	Dove affondano le radici di Israele su La Repubblica del 27 - 3 - 2003 a p. 40 Roberto Cotroneo scrive di Emanuele Trevi I cani del nulla su L' Espresso n. 14 - 2003 a p. 145 Franco Brevini recensisce Mauro Covacich A perdifiato su Panorama n. 14 - 2003 a p. 176 Cesare Segre recensisce Antonio Pascale La manutenzione degli affetti su Corriere della sera del 27 - 3 - 2003 a p. 37 Marco Belpoliti scrive di Franco Arminio Viaggio nel cratere su L' Espresso n. 14 - 2003 a p. 155 Mario Fortunato recensisce Anita Brookner Una strana estate su L' Espresso n. 14 - 2003 a p. 155 Mariarosa Mancuso scrive di ( a proposito dei suoi consigli di lettura ) Jonathan Franzen su Corriere della sera del 26 - 3 - 2003 a p. 39 Serena Zoli ricorda la scomparsa di Luciano Della Mea su Corriere della sera del 26 - 3 - 2003 a p. 37 Livia Manera scrive di Iris Murdoch Il mare , il mare su Corriere della sera del 25 - 3 - 2003 a p. 37 Paolo Di Stefano scrive " Metti una sera Calvino con la Klein " su Corriere della sera del 25 - 3 - 2003 a p. 35 Sebastiano Grasso recensisce Beppe Benvenuto Giuseppe Prezzolini su Corriere della sera del 25 - 3 - 2003 a p. 35 Stefano Bucci recensisce Andrea Kerbaker Diecimila su Corriere della sera del 25 - 3 - 2003 a p. 37 Antonio Gnoli scrive di Paul Auster Il libro delle illusioni su La Repubblica del 23 - 3 - 2003 a p. 36 - 37 Luigi Sampietro recensisce Ray Bradbury Constance contro tutti su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 32 Giorgio De Rienzo recensisce Ken Follett Il volo del calabrone su Corriere della sera del 23 - 3 - 2003 a p. 32 Bruno Arpaia recensisce A. Perez-Reverte La regina del sud su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 33 Giovanni Pacchiano recensisce I. B. Fedrigotti La valigia del signor Budischowsky su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 33 Laura Grimaldi recensisce Tran-Nhut La polvere nera di Maestro Hu su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 33 Donata Righetti recensisce Ursula Le Guin Il diario della rosa su Corriere della sera del 23 - 3 - 2003 a p. 32 Cristiana Acquati recensisce Philip K. Dick Le tre stimmate di Palmer Eldritch su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 32 S. F. Sabahi recensisce Nancy Richler Dolci le tue parole su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 33 Marta Morazzoni recensisce Ralph Ellison Il giorno della libertà su Corriere della sera del 23 - 3 - 2003 a p. 32 Gloria Pozzi recensisce J. T. LeRoy La fine di Harold su Corriere della sera del 23 - 3 - 2003 a p. 33 Giulia Crivelli recensisce Leonid Cypkin Estate a Baden-Baden su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 32 G. A. Stella scrive di Fabrizio Gatti Viki che voleva andare a scuola su Corriere della sera del 23 - 3 - 2003 a p. 33 Diego Marani recensisce Mikael Niemi Musica rock da Vittula su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 33 Diana Ferrero recensisce Carme Riera Verso il cielo aperto su Il Sole - 24 Ore del 23 - 3 - 2003 a p. 32 M. G. Ligato incontra Andrea Camilleri su Io Donna n. 12 - 2003 a p. 167 Federico Peiretti recensisce Michael Crichton Preda su Tuttolibri del 22 - 3 - 2003 a p. 3 Gloria Sala ( a proposito del conflitto tra israeliani e palestinesi ) intervista Larry Collins su Io Donna n. 12 - 2003 a p. 173 Anticipazione da C. Fruttero e F. Lucentini I ferri del mestiere su Tuttolibri del 22 - 3 - 2003 a p. 1 Giorgio Pressburger scrive di Nancy Richler Dolci le tue parole su Corriere della sera del 22 - 3 - 2003 a p. 37 Bruno Quaranta recensisce Pietro Spirito Speravamo di più su Tuttolibri del 22 - 3 - 2003 a p. 5 Giuseppe Scaraffia scrive " La guerra e la [SEP] penna [SEP] " su Io Donna n. 12 - 2003 a p. 74 Piero Soria recensisce Vince Flynn La terza opzione su Tuttolibri del 22 - 3 - 2003 a p. 3 Giovanni Tesio recensisce Mauro Covacich A perdifiato su Tuttolibri del 22 - 3 - 2003 a p. 5 Claudio Gorlier recensisce Ishmael Reed Mumbo Jumbo su Tuttolibri del 22 - 3 - 2003 a p. 3 Lorenzo Mondo recensisce Antonio Pennacchi Il fasciocomunista su Tuttolibri del 22 - 3 - 2003 a p. 5 Masolino D' Amico recensisce Adam Haslett Il principio del dolore su Tuttolibri del 22 - 3 - 2003 a p. 3 Fabio Gambaro scrive della nuova generazione di scrittori africani su D n. 343 a p. 80 Mara Accettura scrive dei best-seller inglesi per ragazzi su D n. 343 a p. 116 Anticipazione da Orly Castel Bloom Parti umane su D n. 343 a p. 181 Osvaldo Guerrieri recensisce Antonio Aniante Carmen 1929 su Tuttolibri del 22 - 3 - 2003 a p. 5 Folco Portinari recensisce Anthony Bourdain Kitchen confidential su Tuttolibri del 22 - 3 - 2003 a p. 4 Corrado Augias recensisce Donna Tartt Il piccolo amico su Venerdì n. 783 a p. 143 Giorgio Montefoschi ( a proposito della corrispondenza con Giorgio Vigolo ) scrive di Alberto Moravia su Corriere della sera del 21 - 3 - 2003 a p. 37 Mino Vignolo intervista Fernando Savater su Corriere della sera del 21 - 3 - 2003 a p. 37 Laura Campo recensisce Rachel Seiffert La camera oscura su Venerdì n. 783 a p. 144 Ulderico Munzi scrive " Al Salone di Parigi arriva il ciclone fiammingo " su Corriere della sera del 21 - 3 - 2003 a p. 37 Marco Cicala scrive di Nick McDonell Twelve su Venerdì n. 783 a p. 113 Anticipazione da Paolo Rumiz È Oriente su La Repubblica del 21 - 3 - 2003 a p. 46 C. Emcke e G. Sporl ( a proposito della guerra contro l' Iraq ) intervistano Susan Sontag su La Repubblica del 20 - 3 - 2003 a p. 49 Piergiorgio Odifreddi recensisce Jose Saramago L' uomo duplicato su L' Espresso n. 13 - 2003 a p. 143 Sandra Petrignani recensisce Paul Auster Il libro delle illusioni su Panorama n. 13 - 2003 a p. 233 Mirella Serri scrive di Irvine Welsh Porno su L' Espresso n. 13 - 2003 a p. 126 P. M. Fasanotti recensisce A. Perez-Reverte La Regina del Sud su Panorama n. 13 - 2003 a p. 233 Fernanda Pivano recensisce Nick McDonell Twelve su Corriere della sera del 20 - 3 - 2003 a p. 39 Mario Fortunato recensisce 2 libri Alan Bennett - Rachel Seiffert La signora nel furgone - La camera oscura su L' Espresso n. 13 - 2003 a p. 141 Marco Belpoliti recensisce Gustaw Herling Requiem per il campanaro su L' Espresso n. 13 - 2003 a p. 141 Cathleen Shine scrive " Se alla Casa Bianca ci fosse Henry James " su La Repubblica del 19 - 3 - 2003 a p. 1 I. B. Fedrigotti scrive di J. Carol Oates Misfatti su Corriere della sera del 19 - 3 - 2003 a p. 37 Alberto Arbasino ( a proposito del " Meridiano " curato da S. Perrella ) scrive di Raffaele La Capria su La Repubblica del 19 - 3 - 2003 a p. 38 - 39 Donata Righetti scrive " Gialli , romanzi d' amore , spionaggio .
itwac	Andrea Camilleri , Carlo Lucarelli , Nicolò Ammaniti e Giorgio Faletti sono i volti e le [SEP] penne [SEP] simbolo della rinascita prepotente di un genere in continua evoluzione , capace di unire il vecchio ingranaggio del libro giallo " crimine / indagine / soluzione " fedele e legato alla realtà ad elementi del tipico noir legati al " poco rassicurante " e all' inquietante .
