corpus	sentence
itwac	La sua PITTURA segnerà per sempre lo stile cinese ; è quella che con un [SEP] pennello [SEP] sottile imprime sulla seta gli ampi paesaggi con una prospettiva particolare e quel caratteristico colore verde e blu , che simboleggiano il paesaggio fatto di montagne , di valli e di fiumi , figurazioni del paradiso ancora taoista dove si vive e si gioisce nella eterna giovinezza .
itwac	Spalmate il prodotto servendovi di un apposito [SEP] pennello [SEP] : le mani è bene siano protette con guanti di gomma .
itwac	Passate , poi , ai raggi X quei pesciolini ormai pronti a finire in pentola : l' aspetto dev' essere brillante , quasi iridescente , le squame devono cadere a [SEP] pennello [SEP] come un vestito perfetto , essere cioè aderenti alla pelle , compatte fra di loro e difficili da sollevare .
itwac	) ospitato a Basilea , compare col [SEP] pennello [SEP] appena sollevato dal quadro nell' intento di terminare un' opera devozionale con Madonna e Bambino , in un' affermazione nettamente improntata ad accreditare l' indiscusso controllo sulle proprietà inventive preposte all' esercizio professionale .
itwac	I sociologi dei media americani Bolter e Grusin hanno parlato di « rimediazione » per definire il processo di spostamento di linguaggio da un mezzo di comunicazione all' altro : Miller e Rodriguez forniscono uno dei più lampanti esempi concreti di questo processo , con un film cui l' aggettivo « post-moderno » non può che calzare a [SEP] pennello [SEP] .
itwac	Puoi usare i pennelli che vuoi , naturalmente in base al disegno che vuoi fare ( lingua di gatto , scalpello o un comunissimo [SEP] pennello [SEP] ) .
itwac	Pieno di quadri , tubetti strizzati , [SEP] pennelli [SEP] , tavolozze spesse .
itwac	riguardo alla installazione dei pennelli , nel file che scarichi dovresti avere tute le indicazioni , altrimenti dovresti semplicemente scompattare il [SEP] pennello [SEP] scaricato e metterlo nella cartella dove ci sono gli altri pennelli di photoshop
itwac	E' iniziata l' installazione dell' impalcatura che fascerà il palazzo delle ex Poste Ferrovia , mentre il primo tocco di [SEP] pennello [SEP] è rinviato ad inizio agosto .
itwac	Le parti sommitali di muratura verranno impermeabilizzate con resina data a [SEP] pennello [SEP] a più mani .
itwac	non saprei governare il mio [SEP] pennello [SEP] !! Quando dicevate ...
itwac	Il " far pittura " di Giovanni Mangiacapra non è solo un esercizio di [SEP] pennello [SEP] , ma un precipitato mentale legato ad un periscopico giro d' orizzonte .
itwac	Lo raggiunsi e potei così osservare anch' io ciò che accadeva all' interno : due semplici figure , l' una accanto all' altra , erano intente ad imbrattare l' altare con un [SEP] pennello [SEP] intriso di sangue .
itwac	Il piccolo Giaime afferra improvvisamente , dalla tavolozza di sua madre , un grosso [SEP] pennello [SEP] dalle setole tinte di giallo e lo impugna come un fucile .
itwac	[SEP] Pennelli [SEP] , pennarelli , cartelloni , fogli , tempere , colla , forbici , carta , collage , colori a dita , cartoncino .
itwac	Per ventura 1 , quel " fascista " , invece , penso che calzi a [SEP] pennello [SEP] !
itwac	Immerso per ore su sentieri naturali come l' Emile di Rousseau , a cui fa riferimento il grande maestro francese Pierre Henri de Valenciennes , afferra il mondo intorno a sè , si ubriaca di luce mediterranea e ne imbeve il suo [SEP] pennello [SEP] .
itwac	Anche Tiziano Dalla Marta , nato nel 1922 a Povegliano - paese adagiato sulla linea delle risorgive al limitare estremo dell' alta pianura veronese - e giunto nel 1943 in Carnia , usa con la stessa potenza e creatività sia il [SEP] pennello [SEP] che la penna che il tecnigrafo .
itwac	Il suono sorprese Ron quanro la bacchetta che gli andava a [SEP] pennello [SEP] e guardò il Maestro delle Pozioni .
itwac	/ mq 16.000 12.3.5 Trattamento antiparassitario di prevenzione e cura per legname da costruzione , da eseguire con la tecnica delle iniezioni con prodotto incolore ad azione prolungata , registrato dal Ministero della Sanità come antiparassitario specifico di prevenzione e cura ; compreso il trattamento superficiale a [SEP] pennello [SEP] o a spruzzo a più mani fino ad assorbimento , per un impiego totale di litri 0,5 di prodotto per mq di superficie in legno da trattare , compreso ogni onere e magistero per dare il lavoro finito a regola d' arte .
itwac	ma ha dato prova di sapere maneggiare il [SEP] pennello [SEP] stile classico .
itwac	Al fine di scongiurare invece le erosioni spondali si è in molti casi proceduto alla costruzione di scogliere in materiale trachitico anch' esso naturale delegando agli Enti preposti in materia di difesa del suolo la progettazione e costruzione di opere tipicamente idrauliche quali briglie , soglie e [SEP] pennelli [SEP] .
itwac	Uscivano dal suo [SEP] pennello [SEP] la Sfida di Barletta , il Brindisi di Francesco Ferruccio , la Battaglia di Gavinana , la Difesa di Nizza , la Battaglia di Torino .
itwac	) e mi piacerebbe avere qualche consiglio o qualche " compitino " per esercitare la mano nella maniera corretta , altrimenti non ne esco Purtroppo sull' inchiostrazione a pennino chiedi alla persona sbagliata Io nn lo uso perchè nn mi ci sono mai trovato bene , preferisco il [SEP] pennello [SEP] .
itwac	" Ed è già così puttana " , aggiunsero con i [SEP] pennelli [SEP] gli agit-prop comunisti di tutta Italia , senza contare altre frasi meno ripetibili .
itwac	Domanda che arriva a [SEP] pennello [SEP] Sono andato un party di una collega a pranzo ( per questo sono sparito ) si festeggiava la casa nuova che le hanno consegnato .
itwac	Uso , di solito , la matita per schizzi grezzi , tutto il resto lo faccio con pennino e pennello - le linee con il pennino e le rifiniture , come le ombre o cose del genere , con il [SEP] pennello [SEP] .
itwac	Il Comune avrebbe partecipato alla spesa dei due [SEP] pennelli [SEP] .
itwac	Mi apre il cuore alla speranza se penso che qualcuno usi il [SEP] pennello [SEP] per stendere colori e definire immagini .
itwac	Il [SEP] pennello [SEP] è preferibile tenerlo ad opacità bassa ( tra il 30 e il 35 % di solito ) e lavorare per velature ( a meno che nn si usi una colorazione a tinte piatte ) .
itwac	Complimenti a Matt Damon che in questo film appare decisamente atletico e assolutamente perfetto nella parte dell' uomo senza nome , in una spy story d' altri tempi che gli calza a [SEP] pennello [SEP] .
itwac	Quando Willy sarà andato via , usate il [SEP] pennello [SEP] da talco sopra il tastierino numerico e voilà , scoprirete quali numeri Willy ha pigiato per entrare : 1 - 3 - 7 - 8 .
itwac	Qui impariamo ad accettare gli errori che facciamo con il nostro [SEP] pennello [SEP] per trarne un insegnamento a superarli ; - rallentare le nostre urgenze : nessuna fretta né desiderio di bruciare le tappe indispensabili .
itwac	Autore Risposta : RaelDelMare Inserita il : 08/01/2005 15:04:41 Messaggio : Che amori che devono esseere tutti e due *  * Non vedo l' ora di vedere le nuove foto della Mirty : D più lo vedo più mi convinco che Zenzero , gli sta a [SEP] pennello [SEP] : D Autore Risposta : onyx 73 Inserita il : 22/01/2005 12:10:32 Messaggio : Non ne abbiamo più parlato , e il nome è rimasto in sospeso ...
itwac	Qui visse la sua storia d' amore e arte con Françoise Gilot , dormendo su dei materassi buttati in una sala , oggi visitata ogni anno con reverenza e commozione da migliaia di persone : stavano lì , circondati da [SEP] pennelli [SEP] e tele , colori e spatole , in quell' ateliér sul mare : ne restano tante immagini e tutte le opere esposte che per sua volontà non potranno mai uscire dal piccolo Museo .
