corpus	sentence
itwac	" " Ci sono tre stanze da [SEP] letto [SEP] , o meglio c' erano .
itwac	All' interno la visita è da non perdere : si girano le varie stanze , i saloni con vista sul lago , le camere da [SEP] letto [SEP] , la bellissima libreria : tutto è perfettamente integro e ben tenuto .
itwac	GINA ( dalla camera da [SEP] letto [SEP] ) Lisa , chi ura su ?
itwac	Poi mi sono messo a [SEP] letto [SEP] , mi sono addormentato e non ho saputo più niente .
itwac	Oggi quella peste andava con la madre a trovare i nonni , e mi ha buttato giù dal [SEP] letto [SEP] alle sei perché era così entusiasta all' idea da non esser riuscito a dormire tutta la notte .
itwac	L' Inghilterra li sopravvaluterà ampiamente , cadendo preda di una psicosi da ' italiano sotto il [SEP] letto [SEP] ' .
itwac	Le ne sono ite a casa disposte a fare ogni cosa , e non ci fia difficultà , - perché la madre s' andrà a stare seco , e vuolla mettere al [SEP] letto [SEP] lei .
itwac	Manderò la Professoressa McGonagall a darti il cambio , insieme con il Professor Vector , per accompagnarti a [SEP] letto [SEP] .
itwac	GRAZIE A DIO LE RAGAZZE CHE HO CONOSCIUTO FINO AD ORA PRIMA DI ALZARSI DAL [SEP] LETTO [SEP] ACCENDONO ANCHE IL CERVELLO NON COME TE E LA TUA AMICHETTA .
itwac	Sdraiato sul [SEP] letto [SEP] ragionava così : il ragazzo sarebbe fuggito a tutti i costi da quel ruffiano suo presunto padre .
itwac	Qualora il Centro non sia localizzato in una struttura sanitaria , le aree generali devono includere : - camere mortuarie in numero idoneo ( raccomandabile una ogni otto [SEP] letti [SEP] ) ; - spazio per i dolenti ; - sala per il culto ; - locale uso amministrativo ; - cucina , dispensa e locali accessori per lavanderia e stireria ( qualora questi servizi venissero dati in appalto , il Centro dovrà comunque essere dotato di locali di stoccaggio o di temporaneo deposito o di riscaldamento dei cibi , di supporto alle ditte esterne ) ; - magazzini .
itwac	Ospita un mercatino dell' usato , acquista e vende arredamento per la casa antico , vende mobili usati nuovi antichi , camere da [SEP] letto [SEP] , divani , salotti , cucine complete , complementi d' arredo , pensili , libri , oggettistica , tavoli , sedie , arredi completi .
itwac	Ogni stanza aveva 4 letti a scaffale , come tipo dentro la casa dello studente , un [SEP] letto [SEP] largo circa 45 - 50 cm , e lungo circa 1 m - 66 - 68 .
itwac	Ti guardo distesa , in quel [SEP] letto [SEP] che è diventata la tua vita .
itwac	La struttura è composta da 120 appartamenti per 2 , 4 o 6 persone , con : salone con divani letto / letti a cassetto ed una ( o due ) camera ( e ) da [SEP] letto [SEP] , stanza da bagno , servizi separati , televisione via satellite , grande terrazzo o balcone arredato , cucina interamente attrezzata , telefono diretto , cassaforte individuale .
itwac	" - Scese dal [SEP] letto [SEP] e su tutte le furie versò un po' dell' acqua che le dame avevano portato nella bacinella per potersi lavare .
itwac	Non sento niente , sono stato costretto a forza ad alzarmi dal mio [SEP] letto [SEP] , avevo le piaghe da decubito , avevo gli occhi blu ed anche i pensieri affogavano nel blu , come se fossero continuamente immersi in una bacinella contenente un liquido che tutto purifica , disinfetta e sterilizza .
itwac	Dalla sala andate in camera da [SEP] letto [SEP] , specchiatevi , poi andate a prendere la posta .
itwac	Quando uscivamo insieme dovevo pregarla per avere un bacio o semplicemente per abbracciarla , Laura era come un gatto faceva le fusa solo quando voleva , era un carattere molto forte e quanto io mi sforzassi di parlargli lei non capiva , riusciva solo ad attaccare il telefono in faccia , sono stati 8 mesi di inferno per me tutte le sere sul [SEP] letto [SEP] a piangere , non ho mai avuto la forza di lasciarla per me era troppo importante era come vivere in un sogno che spesso diventava un incubo .
itwac	E non solo nell' alta società , una moltitudine di donne normali entravano ed uscivano dal [SEP] letto [SEP] di Michael come massaie da un negozio di alimentari .
itwac	Appoggiò il mantello sulla sedia e si sdraiò sul [SEP] letto [SEP] ; la luce della luna crescente che filtrava dalla finestra posta a nord est , rischiarava la camera e ciò gli diede un senso di beatitudine nonché la certezza di un buon auspicio e si addormentò .
itwac	Poi ci invita nella sua stanza multifunzionale per un tè : è la cucina-camera da letto-soggiorno , l' unico luogo della casa riservato alla vita domestica sua e di sua moglie , un' ampia stanza sostenuta da pilastri di legno in cui trova posto la stufa , alimentata con sterco di yak , la credenza , scaffali colmi di pentole annerite dal fumo , tre [SEP] letti [SEP] bassi che di giorno fungono da divani , fotografie dei figli , il televisore e , sopra tutti , la sorridente immagine del Dalai Lama .
itwac	Balzò fuori dal [SEP] letto [SEP] , si vestì in fretta e furia e si precipitò giù dalle scale ; nella sua testa risuonava l' eco del disperato grido di aiuto che solo lei aveva potuto sentire .
itwac	è stato bellissimo Certo mi spiace x Spike ma è morto da eroe e poi nn è vero ke Buffy nn ha dimostrato di amarlo anzi la scena più bella è quando gli chiede di rimanere kn lei nel [SEP] letto [SEP] abbracciati è stata dolcissima , e alla fine gli ha anke detto TI AMO FORZA BUFFYYYYYYYYYYYYYYY !!!!!!!!!!!!!!!!! però nn è giusto ke è finita mi spiace Inviato da : HellMouth il Jan 17 2005 , 03:15 PM Ma quante volte vuoi farla morire sta poveraccia !!??? Ha visto più tombe che negozi nella sua vita la vuoi far svagare un attimo !! E' vero Spike muore a causa del medaglionoe di Liz Taylor ma muore soddisfatto , anche io avrei voluto vederlo in salvo il bonazzo biondo ma la sua morte ha il suo perché !!!
itwac	Quelli che riescono a dormire solo nel proprio [SEP] letto [SEP] e che allontanano i grassetti della carne ?
itwac	Di Nanni torna ai piedi del [SEP] letto [SEP] , prepara altri due fasci di tritolo e , dal balcone , li lascia cadere senza contare perché sotto non c' è più nessuno che possa spegnere le micce .
itwac	Per le strutture ubicate ad altitudine superiore a 700 metri , le superfici di cui al comma precedente sono cosi' ridotte : a ) locale soggiorno-pranzo-cucina con posti letto : mq. 11 se con un posto letto , mq. 16 se con due posti letto , mq. 21 se con tre posti letto , cui deve essere aggiunto 1 mq. per ogni posto letto installato nelle camere da [SEP] letto [SEP] ; b ) camere da letto : mq. 8 , cui devono essere aggiunti mq. 4 per ogni letto , fino ad un massimo di 4 posti letto .
itwac	( si buttano a pesce sul [SEP] letto [SEP] , la luce si spegne ) SCENA III  PALAZZO DI LOGOS ( Logos cammina nervosamente in su e in giù .
itwac	La superficie minima delle stanze da letto , esclusi i servizi igienici , è la seguente : Per difetto camera a 1 letto mq 12 mq 9.60 camera a 2 letti mq 18 mq 14,40 camera a 3 letti mq 26 mq 20,80 camera a 4 [SEP] letti [SEP] mq 32 mq 25,60 La superficie totale utile funzionale della struttura è fissata in mq 32 per ospite .
itwac	Nemmeno il tempo di parlare del " dopo " , solo l' angoscia davanti a un uomo che soffre , non si alza più dal [SEP] letto [SEP] , prima in ospedale poi a casa .
itwac	Il Quadrilocale al piano terra ha al piano terra ha il soggiorno , angolo cottura con pano [SEP] letto [SEP] matrimoniale e / o singolo , bagno ; al 1 ° piano tre camere matrimoniali o singole , bagno e terrazzo .
itwac	Jean Hanff Korelitz IL VENDITORE DI ROSE In un [SEP] letto [SEP] al centro dell' universo , un uomo è nella donna che ama , si muovono insieme , e con loro si muove il letto ...
itwac	Possibile che non si provi un' ombra di dubbio nel pensare a quello che ci siamo perse nel vedere i nostri figli solamente per un' ora al giorno giusto il tempo di dare loro la cena e mettereli a [SEP] letto [SEP] ?
itwac	E' toccato poi ai carabinieri di Vignola , avvertiti dai colleghi , portare la tragica notizia ai familiari della vittima , che oltre alla giovane moglie , lascia un bimbo di due anni e la madre , costretta a [SEP] letto [SEP] da tempo e colta da malore quando ha saputo della morte del figlio , tanto da rendere necessario l' intervento dei medici del 118 .
itwac	Ero sdraiata sul [SEP] letto [SEP] e pensavo .
itwac	Giuseppe poi non si allenava da molto tempo e Giovanni era reduce da una graduale ripresa di allenamenti , dopo aver subito un fatale colpo della strega che lo aveva costretto a quindici giorni di [SEP] letto [SEP] forzato ...
itwac	" Andiamo a [SEP] letto [SEP] !
itwac	Va in camera da [SEP] letto [SEP] .
itwac	Se il malato sta subito bene , sullo stesso [SEP] letto [SEP] si possono alternare più persone .
itwac	In questo nuovo ambito le aziende configureranno dipartimenti assistenziali ampi in diretta dipendenza dal Direttore Generale dell' Azienda , che si occuperanno della gestione dell' assistenza ed in cui i [SEP] letti [SEP] non siano più di competenza esclusiva di questo o di quel professore .
itwac	Camere Le camere sono deliziose , ariose e allegre , una diversa dall' altra : stile fine secolo , " Jugendstil " , tirolesi e moderne , alcune con [SEP] letto [SEP] a baldacchino , in parte con balcone o terrazza .
itwac	Il grido di Abrham squarcia l' aria , un corpo che cade , le torce si accendono ed illuminano il suo corpo riverso al suolo in un [SEP] letto [SEP] di sangue e detriti scuri ...
itwac	Gli ospiti saranno sistemati in camere con [SEP] letti [SEP] a castello .
itwac	Liborio andò a guardare sul [SEP] letto [SEP] e , scorgendovi una dentiera aperta : « Niente , eccellenza !
itwac	che andiamo a [SEP] letto [SEP] la mattina presto e ci svegliamo con il mal di testa ...
itwac	Ma non è proprio a [SEP] letto [SEP] che Marcel Proust ha scritto Il tempo ritrovato ?
itwac	Il corpo si è rapidamente messo in moto , la mente si crogiolerà a [SEP] letto [SEP] ancora mezz ' oretta .
itwac	Che a [SEP] letto [SEP] era un vero uomo .
itwac	Un braccio le si strinse attorno , e una voce preoccupata sussurrò , " Hum , " Un piccolo singhiozzo le sfuggì dalle labbra strette , e si spostò per lasciare il [SEP] letto [SEP] , mentre sentiva le emozioni ribollire in superficie , pronte a sfuggire .
itwac	Le ragazze scattarono , chi giù dal [SEP] letto [SEP] , chi su dal pavimento , per spalancare la porta .
itwac	» Balza dal [SEP] letto [SEP] a camminare agitatissimo , quantunque in pantofole , per la camera .
itwac	                 " agonizzanti in un [SEP] letto [SEP] , tra molti anni da adesso , siete sicuri che non sognerete di barattare tutti i giorni che avrete vissuto a partire da oggi , per avere l' occasione , solo un altra occasione , di tornare qui sul campo ad urlare ai nostri nemici che possono
itwac	Mi sdraiavo sopra al [SEP] letto [SEP] , le mani unite dietro la nuca e incominciavo ad immaginare come sarebbe stata la mia vita da scrittore : i reading , la fama e le belle ragazze , i soldi che non avrebbero più formato un problema ; ma soprattutto vedevo le copertine dei miei libri , le costruivo a dire il vero .
itwac	Ritorni a [SEP] letto [SEP] e cominci a dormire compiaciuto .
itwac	Restavo delle ore a [SEP] letto [SEP] sotto la spessa coltre del futon ben avvolto attorno alle spalle , assaporavo la fragilità dei miei bronchi , l' apatia del mio corpo , mi rifugiavo al fondo del piumino per impregnarmi della sua dolcezza e del suo calore , mi alzavo a volte , barcollando fino alla cucina per prepararmi del tè , che bevevo bollente nel mio letto per allontanare i brividi .
itwac	Per ogni camera da [SEP] letto [SEP] a 2 posti o per ogni due camere ad un posto è presente un servizio igienico .
itwac	ci sconvolgiamo se vi sentiamo parlare delle vostre prodezze a [SEP] letto [SEP] con le altre e poi tra noi parliamo di misure in lunghezza o carati in diamanti ...
itwac	In piedi accanto al [SEP] letto [SEP] di ferro osservo il corpo scheletrico con stupore indignato .
itwac	Se sali sul [SEP] letto [SEP] e ...
itwac	Andarono in camera e si stesero sul [SEP] letto [SEP] .
itwac	Beh , la prima che mi viene in mente sono quelle situazioni in cui personalmente non riesco a dare del tu : persone anziane o che comunque a me sembrano irraggiungibili , gente che magari conosco da una vita intera ( la mia ) , che era adulta quando io bagnavo il [SEP] letto [SEP] .
itwac	Pronti a tutto , non facevamo niente per salvarla : l' avevamo abbandonata al suo [SEP] letto [SEP] , in attesa che la Morte giungesse , presto , al più presto ...
itwac	Esatto : ciò che si scrive e si commenta , per la maggior parte delle volte , non è il fatto che tu sia andata a [SEP] letto [SEP] con questo e con quello , nemmeno che tu abbia fatto soffrire tante persone : il vero problema è il tuo carattere e il modo in cui ti poni nei confronti delle altre persone .
itwac	Sono allineati ai dati medi nazionali , in particolare , il livello di utilizzo delle strutture e l' intervallo di turn over ( il periodo in cui un [SEP] letto [SEP] resta libero tra un ricovero e l' altro ) , quest' ultimo frutto di un aggiustamento progressivo nel triennio .
itwac	PECCATO CHE SIA MASCHIO Regia : Rolf Silber con : Christoph M. OHRT , Carin C. TIETZE , Tim BERGMANN , Oliver STOKOWSKI , Rudolf Kpwalski , Dieter Brandecker , Daniela Ziegler Sceneggiatura : Rolf Silber e Rudi Bergmann Musiche di : Peter W. Schmitt Durata : 100 min. circa Anno © 1997 Non è una giornata come tutte le altre per Cristoph Schwenk , primo commissario della polizia giudiziaria di Farncoforte , quando torna a casa dopo una giornata di lavoro e scopre la findazata a [SEP] letto [SEP] con un altro uomo .
itwac	Mariette che nel frattempo s' era infilata nel [SEP] letto [SEP] , quando ammirò il suo compagno completamente nudo , alquanto eccitata , esclamò : " Accidenti Pierre !
itwac	Mi sdraio sul [SEP] letto [SEP] , mentre nella mente mi scorrono le sequenze precise e terribili del film troppo reale , purtroppo , per essere solo un film .
itwac	Per ragioni appunto di salute , alla fine della guerra passò a Moerzeke per riprendere le forze : in questo villaggio isolato fu elemosiniere del convento per quattro anni ( 1918 - 1922 ) durante i quali fu più spesso a [SEP] letto [SEP] che in piedi .
itwac	" Caskaaaa , vieni , sono già nel [SEP] letto [SEP] !!!
itwac	Crisi della borghesia Scompare perciò in gran parte la borghesia imprenditoriale , quella che aveva attitudine per le attività di rischio , in modo speciale nell' Italia meridionale , ma anche nell' Italia settentrionale e in Toscana , dove i Medici alla fine del Seicento si erano trasformati in grandi proprietari terrieri , mostrando anche fisicamente la loro degenerazione : Gian Gastone de ' Medici , ultimo rappresentante diretto della famiglia , divenne tanto pigro e obeso da rinunciare ad alzarsi da [SEP] letto [SEP] .
itwac	ma quando mi stendo sul [SEP] letto [SEP] o su qualsiasi altro posto x riposarmi ...
itwac	" Natàlia urla dal [SEP] letto [SEP] e stringendo il suo cuscino " No !
itwac	In un altro brano autobiografico sottolineò il ruolo svolto dalla famiglia in quella vicenda : Mi ricordo che una sera nella nostra abitazione sotto la Torre comunale mio padre , simpatizzante socialista , condusse un assessore della giunta comunale socialista , che era cercato dalle squadre fasciste di Perugia e di Firenze congiunte da alcuni giorni in imprese nella nostra città : una persona semplice e fine , con cui parlai molto : gli cedetti volentieri la mia camera , e dormii nello studio accanto ; e la notte i fascisti invasero la mia casa , mentre tutti eravamo a [SEP] letto [SEP] , per recarsi a togliere la bandiera rossa dalla torre campanaria , e passarono accanto allo studio e alla camera senza sospettare che l' assessore socialista dormisse nella mia camera [ 12 ] .
itwac	Anche l' azienda sanitaria locale Roma G ha raccolto dei campioni di suolo e di vegetazione nei terreni limitrofi al [SEP] letto [SEP] fluviale dai quali è emersa la contaminazione dell' argine .
itwac	[SEP] Letto [SEP] confermato e sottoscritto in quanto atto approvato dai rispettivi Consigli comunali , i Sindaci delle amministrazioni civiche di Marineo , Cefalà Diana , e Villafrati IL SINDACO DI MARINEO F .
itwac	Michael Plumstead segnalò ai produttori televisivi di aver visto accanto al [SEP] letto [SEP] di Lara ( una delle concorrenti ) due strane sagome .
itwac	Il suo entusiasmo è contagioso : « Qui tutto assume un significato diverso , anche fare il [SEP] letto [SEP] o le pulizie .
