corpus	sentence
itwac	Butta giù gli alambicchi , le provette , apre le gabbie dei [SEP] topi [SEP] , il loro carcere è esteso a tutta la stanza .
itwac	Modificando geneticamente alcuni topini in modo da far produrre loro una proteina di solito assente negli organismi adulti , i biotecnologi sono infatti riusciti a rendere i vecchi [SEP] topi [SEP] indistruttibili come dei giovanotti , animali in cui i muscoli guariscono dalle ferite come se i tessuti fossero quelli di un cucciolo .
itwac	Nel Mediterraneo è stato scoperto un nuovo tipo di pesce [SEP] topo [SEP] ( Caelornchus mediterraneus ) con una coda filante .
itwac	Ma poi se ci penso sono troppi perchè Il deserto dei tartari di Buzzati , e tutto Calvino tutto , e Verne , e Kafka , e Demian o come si chiamava di Hesse , e sicuramente Nana di Zola e Steinbeck Uomini e [SEP] Topi [SEP] e Isole nella corrente di Hemingway e credo no boh sicuro ne lascio un milione ...
itwac	" Il video si presenterà in modo fortemente ironico , prendendo alla lettera il concetto di " deformazione " che la TV da degli avvenimenti , trasferendola su un' evidente deformazione che subiscono gli strumenti e le cose sotto gli occhi meravigliati dei Subsonica " , spiega Cristiano dal Pozzo , autore di clip per Afterhours ( Bianca , La sinfonia dei [SEP] topi [SEP] ) , Francesco C ( Contatti ) , Modho ( liquidi ) .
itwac	Nei [SEP] topi [SEP] con una malattia simile alla sclerosi multipla umana ( encefalomielite autoimmune sperimentale ) Rhonda Voskuhl ha osservato che la somministrazione di estriolo è in grado di ridurre le esacerbazioni dell' encefalomielite , ed inoltre di produrre un minor grado di invalidità .
itwac	Giovedì 8 Gennaio 2004 Monselice - Il Comitato di Via Galilei solidarizza con Satyriconweb.it Monselice - Domenica l' ufficialità per Francesco Corso candidato sindaco Monselice - Per Peraro se non sei di Monselice puoi essere picchiato Mercoledì 7 Gennaio 2004 Monselice - E nella merda i [SEP] topo [SEP] ci sguazzano a meraviglia Monselice - Fabio Conte , la materna ed i foglietti di carta Martedì 6 Gennaio 2004 Monselice - La replica dei Verdi : ' meschinità politica ' Monselice - Scontri in piazza : 25 No Global denunciati Lunedì 5 Gennaio 2004 Monselice - I lettori amano Tarquinio il Superbo Sabato 3 Gennaio 2004 Monselice - Ladri colpiscono anche l' abitazione di Braghetto Venerdì 2 Gennaio 2004 Monselice - Sprechi e scelte sbagliate i ' Regali di Natale ' di Fabio Conte Monselice - Gli Studentinrete sostengono Satyriconweb.it Monselice - Capodanno in Piazza : festa e stranezze sotto il tendone
itwac	La scoperta e' arrivata dall' osservazione un gruppo di [SEP] topi [SEP] giovani e vecchi , condotta dai ricercatori dell' University of Virginia a Charlottesville .
itwac	« Gesti da [SEP] topo [SEP] | Pagina Principale | Autorale , autorale , autorale .
itwac	Perche' , come osservato nel [SEP] topo [SEP] , dal muscolo si puo' accumulare e diffondere una quantita' di prioni molto alta ' .
itwac	Vi erano strani uomini [SEP] topi [SEP] , agghindati con perline colorate , piume e gioielli , che pregavano intorno ad un piccolo altare con un totem di teschi sopra .
itwac	Il ratto , il [SEP] topo [SEP] , la volpe , il coniglio guardano le radici ; il leone , la tigre , il cavallo , l' elefante guardano i frutti .
itwac	Nel [SEP] topo [SEP] , Aip 1 si è dimostrato capace di arrestare un tumore , se iniettato nelle cellule cancerose .
itwac	Soggiornare in un albergo a 4 stelle in Grecia e incrociare un [SEP] topo [SEP] nella hall .
itwac	E' qui che l' ingegneria dei tessuti dei fratelli Vacanti ha dato i risultati più promettenti : " Abbiamo provato la funzione generatrice delle baby cellule su un [SEP] topo [SEP] da laboratorio affetto da una lesione orizzontale di quattro millimetri nella colonna vertebrale - ha spiegato Vacanti - una volta messe al lavoro in loco , le cellule progenitrici hanno ricostituito il midollo nella parte mancante , collegando nervatura a nervatura ed il roditore è tornato a camminare , ad avvertire sensazioni nella parte posteriore del corpo " .
itwac	Si pensò allora di far tornare i gatti scacciati , ma i [SEP] topi [SEP] li misero in fuga .
itwac	Ma siamo anche molto vicini al [SEP] topo [SEP] .
itwac	Simpatizza con i [SEP] topi [SEP] ...
itwac	Dopo il test su 9 [SEP] topi [SEP] , e' gia' pronto il protocollo per lo studio sulle scimmie , che potrebbe portare anche ad un futuro ' antidoto farmacologico ' , alternativo al trapianto di cellule del naso .
itwac	La fiaba è uscita in italiano col titolo " il [SEP] topo [SEP] di Benjamin Franklin " scritto ovviamente da Robert Lawson edito da Piccoli Milano 1989 forse confluito in Mondadori ( ?
itwac	La consacrano poi all' immortalità le innumerevoli e sconfinate repliche teatrali di Trappola per [SEP] Topi [SEP] , appositamente creato per il compleanno della regina madre nel 1947 .
itwac	" " Ehi [SEP] topo [SEP] , mi avete rosicchiato tutto il divertimento , però .
itwac	Ad esempio , le cellule secernenti insulina ottenute da cellule ES del [SEP] topo [SEP] hanno rivelato di avere una produzione di insulina in vivo pari a solo il 5 % del normale .
itwac	Bambini di tutta Italia ( e in seguito anche stranieri ) si cimentavano con canzoncine farcite all' inverosimile di cani , gatti , [SEP] topi [SEP] e uccellini , dalle rime facili facili e spesso motivo di autentico culto popolare : c' è chi ha imparato la matematica grazie allo Zecchino ( Quarantaquattro gatti in fila per tre col resto di due ) , chi ha imparato i versi degli animali , chi ha conosciuto lo spessore di alcuni personaggi storici ( Riccardo Cuordileopardo ) e chi si è reso conto che la caffeina non è più così dannosa per il sonno ( La ninna nanna del chicco di caffé ) .
itwac	Maggiori informazioni su www.cioccolibri.it oppure entrando nel mondo di Geronimo Stilton per conoscere tutti i suoi segreti di [SEP] topo [SEP] letterato ...
itwac	Giovani vecchi gatti inseguono secchi di spazzatura dentro cui divorare [SEP] topi [SEP] azzannati all' alba .
itwac	E' stato dichiarato che serviranno per acciuffare i [SEP] topi [SEP] d' appartamento .
itwac	Metà roba rosicchiata dai [SEP] topi [SEP] .
itwac	Se il vostro [SEP] topo [SEP] ha difficoltà a funzionare cirrettamente , o funziona a scatti , è possibile che esso abbia bisogno di una palla di ricambio .
itwac	E' la reazione del classico gigante che per prendere il [SEP] topo [SEP] che si e' infilato nella fessura della montagna butta giu' tutta la montagna .
itwac	Un altro problema è che , per la struttura del film ( in cui gli alieni sono praticamente invincibili ) , gli umani sono esclusivamente delle vittime e dopo un' ora e mezzo di gioco del gatto e del [SEP] topo [SEP] la cosa inizia a stancare .
itwac	Se MORO era loro prigioniero , è anche vero che le B.R. si sentivano [SEP] topi [SEP] in trappola .
itwac	Lawrence S. B. Goldstein e colleghi hanno osservato , in modelli di [SEP] topo [SEP] della malattia e in campioni cerebrali umani provenienti da pazienti , un malfunzionamento dei neuroni che sembra impedire il normale movimento di proteine fondamentali per i centri di comunicazione delle cellule nervose .
itwac	Tutti , comunque , sembrano contribuire a rendere questo batterio tra le duecento e le settecento volte più contagioso , almeno nei [SEP] topi [SEP] .
itwac	I risultati hanno evidenziato nel primo caso che dopo la sospensione della somministrazione di nicotina i [SEP] topi [SEP] non la cercavano autonomamente , segno che non ne erano dipendenti .
itwac	Ora una ricerca pubblicata sull' edizione on line di Proceedings of the National Academy of Sciences mostra che effettivamente , almeno nei [SEP] topi [SEP] , il gene di quella proteina è implicato in molti processi diversi , alcuni fondamentali per lo sviluppo .
itwac	O l' ostinato happy ending , in cui tutti i passeggeri ( uomini e [SEP] topi [SEP] , ma Steinbeck non c' entra ) si salvano , persino i cattivi , che si ritrovano a vagare e vogare senza meta per i ghiacci artici ?
itwac	Il vaccino è risultato in grado di prevenire più del 90 % dei tumori e di raddoppiare la durata della vita di [SEP] topi [SEP] che altrimenti muoiono precocemente di tumore della mammella .
itwac	Ogni giorno era tirato fuori da questa cella per quaranta minuti , il tempo per " nutrire " [SEP] topi [SEP] e serpi in modo che non lo divorassero vivo .
itwac	In un primo tempo si pensava che queste sostanze potessero risultare efficaci anche da sole , contro le cellule cancerose ( e le prime ricerche di Judah Folkman sui [SEP] topi [SEP] avevano fornito ottimi effetti , in questa direzione ) .
itwac	Io sono un [SEP] topo [SEP] nella Grande Fogna e se non sto attento muoio annegato nel fango .
itwac	Quando i cervelli dei [SEP] topi [SEP] sono stati poi analizzati , gli scienziati hanno trovato che i cervelli dei topi a digiuno erano più resistenti ai danni della tossina rispetto ai cervelli dei topi a dieta o che mangiavano normalmente .
itwac	Ora assiste le pescate dagli scogli e tra un po' lo vedremo all' angoletto di fiumara , che pesca a fondo con la tremolina e fare gesti strani nell' inutile tentativo di allontanare i clamorosi [SEP] topi [SEP] di fiumara che risalgono dalle profondita' della terra per mangiarsi la tremolina nella scatoletta .
itwac	La prigione può essere una gabbia per [SEP] topi [SEP] oppure uno straordinario trampolino di lancio , basta indovinare le mosse giuste : apparse su tutti i giornali per i loro efferati delitti , le due intraprendenti signore rischiano la pena capitale o uno straordinario avvenire sul palcoscenico .
itwac	Dal Mit una " bomba " intelligente per attaccare il cuore dei tumori La tecnica sarebbe capace di raggiungere il cancro tramite i vasi sanguigni per poi rilasciarvi un primo medicinale Dal Mit una " bomba " intelligente per attaccare il cuore dei tumori Lo studio dei ricercatori di Boston pubblicato su " Nature " Le " navicelle " sono state testate con successo su alcuni [SEP] topi [SEP] di ELENA DUSI ROMA - A descriverlo sembrerebbe un film d' azione .
